job_id,run_type,framework,diseaseTransmissionChance,diseaseTagStringLength,agentImmuneSystemLength,diseaseSugarMetabolismPenalty,duration_seconds,peak_memory_mb,status
301,disease,altruist,0.6,21,10,1,0.3,22.92,OK
302,disease,altruist,0.6,21,10,2,0.2,24.44,OK
303,disease,altruist,0.6,21,10,3,0.2,22.89,OK
304,disease,altruist,0.6,21,35,0,24.7,32.45,OK
305,disease,altruist,0.6,21,35,0.1,0.3,24.49,OK
306,disease,altruist,0.6,21,35,0.25,0.3,22.7,OK
307,disease,altruist,0.6,21,35,0.5,0.3,23.39,OK
308,disease,altruist,0.6,21,35,1,0.4,22.57,OK
309,disease,altruist,0.6,21,35,2,0.3,22.77,OK
310,disease,altruist,0.6,21,35,3,0.3,22.77,OK
311,disease,altruist,0.6,21,60,0,25.8,31.86,OK
312,disease,altruist,0.6,21,60,0.1,0.5,24.53,OK
313,disease,altruist,0.6,21,60,0.25,0.5,24.31,OK
314,disease,altruist,0.6,21,60,0.5,0.6,22.9,OK
315,disease,altruist,0.6,21,60,1,0.5,25.52,OK
316,disease,altruist,0.6,21,60,2,0.5,23.18,OK
317,disease,altruist,0.6,21,60,3,0.5,23.75,OK
318,disease,altruist,1.0,5,10,0,20.3,31.34,OK
319,disease,altruist,1.0,5,10,0.1,0.2,24.27,OK
320,disease,altruist,1.0,5,10,0.25,0.2,22.68,OK
321,disease,altruist,1.0,5,10,0.5,0.2,22.25,OK
322,disease,altruist,1.0,5,10,1,0.2,22.48,OK
323,disease,altruist,1.0,5,10,2,0.2,23.68,OK
324,disease,altruist,1.0,5,10,3,0.2,23.47,OK
325,disease,altruist,1.0,5,35,0,15.7,30.19,OK
326,disease,altruist,1.0,5,35,0.1,0.3,23.61,OK
327,disease,altruist,1.0,5,35,0.25,0.3,23.61,OK
328,disease,altruist,1.0,5,35,0.5,0.3,22.71,OK
329,disease,altruist,1.0,5,35,1,0.3,22.49,OK
330,disease,altruist,1.0,5,35,2,0.3,23.66,OK
