job_id,run_type,framework,diseaseTransmissionChance,diseaseTagStringLength,agentImmuneSystemLength,diseaseSugarMetabolismPenalty,duration_seconds,peak_memory_mb,status
721,disease,egoist,1.0,13,10,0.25,0.4,23.24,OK
722,disease,egoist,1.0,13,10,0.5,0.3,23.39,OK
723,disease,egoist,1.0,13,10,1,0.3,24.16,OK
724,disease,egoist,1.0,13,10,2,0.2,23.62,OK
725,disease,egoist,1.0,13,10,3,0.3,22.81,OK
726,disease,egoist,1.0,13,35,0,27.3,31.52,OK
727,disease,egoist,1.0,13,35,0.1,0.4,24.11,OK
728,disease,egoist,1.0,13,35,0.25,0.4,24.65,OK
729,disease,egoist,1.0,13,35,0.5,0.4,24.34,OK
730,disease,egoist,1.0,13,35,1,0.4,23.82,OK
731,disease,egoist,1.0,13,35,2,0.4,24.32,OK
732,disease,egoist,1.0,13,35,3,0.4,22.78,OK
733,disease,egoist,1.0,13,60,0,29.4,32.45,OK
734,disease,egoist,1.0,13,60,0.1,0.5,23.78,OK
735,disease,egoist,1.0,13,60,0.25,0.5,22.89,OK
736,disease,egoist,1.0,13,60,0.5,0.5,24.85,OK
737,disease,egoist,1.0,13,60,1,0.5,23.86,OK
738,disease,egoist,1.0,13,60,2,0.5,22.73,OK
739,disease,egoist,1.0,13,60,3,0.5,24.15,OK
740,disease,egoist,1.0,21,10,0,29.6,31.85,OK
741,disease,egoist,1.0,21,10,0.1,0.3,22.99,OK
742,disease,egoist,1.0,21,10,0.25,0.3,24.36,OK
743,disease,egoist,1.0,21,10,0.5,0.3,22.08,OK
744,disease,egoist,1.0,21,10,1,0.3,24.53,OK
745,disease,egoist,1.0,21,10,2,0.3,22.54,OK
746,disease,egoist,1.0,21,10,3,0.3,24.56,OK
747,disease,egoist,1.0,21,35,0,27.8,31.7,OK
748,disease,egoist,1.0,21,35,0.1,0.4,22.76,OK
749,disease,egoist,1.0,21,35,0.25,0.4,24.14,OK
750,disease,egoist,1.0,21,35,0.5,0.4,23.84,OK
