job_id,run_type,framework,diseaseTransmissionChance,diseaseTagStringLength,agentImmuneSystemLength,diseaseSugarMetabolismPenalty,duration_seconds,peak_memory_mb,status
781,disease,negativeBentham,0.3,5,60,2,5.4,25.64,OK
782,disease,negativeBentham,0.3,5,60,3,5.3,24.04,OK
783,disease,negativeBentham,0.3,13,10,0,26.9,32.89,OK
784,disease,negativeBentham,0.3,13,10,0.1,0.3,24.6,OK
785,disease,negativeBentham,0.3,13,10,0.25,0.3,23.82,OK
786,disease,negativeBentham,0.3,13,10,0.5,0.2,23.4,OK
787,disease,negativeBentham,0.3,13,10,1,0.3,23.75,OK
788,disease,negativeBentham,0.3,13,10,2,0.3,22.95,OK
789,disease,negativeBentham,0.3,13,10,3,0.3,23.86,OK
790,disease,negativeBentham,0.3,13,35,0,25.0,34.88,OK
791,disease,negativeBentham,0.3,13,35,0.1,0.4,24.02,OK
792,disease,negativeBentham,0.3,13,35,0.25,0.4,23.78,OK
793,disease,negativeBentham,0.3,13,35,0.5,0.4,24.68,OK
794,disease,negativeBentham,0.3,13,35,1,0.4,22.86,OK
795,disease,negativeBentham,0.3,13,35,2,0.4,24.73,OK
796,disease,negativeBentham,0.3,13,35,3,0.4,23.05,OK
797,disease,negativeBentham,0.3,13,60,0,27.3,33.77,OK
798,disease,negativeBentham,0.3,13,60,0.1,0.5,23.64,OK
799,disease,negativeBentham,0.3,13,60,0.25,0.5,22.83,OK
800,disease,negativeBentham,0.3,13,60,0.5,0.5,25.53,OK
801,disease,negativeBentham,0.3,13,60,1,0.5,24.23,OK
802,disease,negativeBentham,0.3,13,60,2,0.5,23.79,OK
803,disease,negativeBentham,0.3,13,60,3,0.6,27.02,OK
804,disease,negativeBentham,0.3,21,10,0,28.5,32.39,OK
805,disease,negativeBentham,0.3,21,10,0.1,0.3,24.07,OK
806,disease,negativeBentham,0.3,21,10,0.25,0.3,24.63,OK
807,disease,negativeBentham,0.3,21,10,0.5,0.3,22.81,OK
808,disease,negativeBentham,0.3,21,10,1,0.2,22.91,OK
809,disease,negativeBentham,0.3,21,10,2,0.3,27.48,OK
810,disease,negativeBentham,0.3,21,10,3,0.3,23.04,OK
