job_id,run_type,framework,diseaseTransmissionChance,diseaseTagStringLength,agentImmuneSystemLength,diseaseSugarMetabolismPenalty,duration_seconds,peak_memory_mb,status
241,disease,altruist,0.3,21,35,0,24.1,30.55,OK
242,disease,altruist,0.3,21,35,0.1,0.4,23.72,OK
243,disease,altruist,0.3,21,35,0.25,0.4,22.5,OK
244,disease,altruist,0.3,21,35,0.5,0.3,24.23,OK
245,disease,altruist,0.3,21,35,1,0.3,23.6,OK
246,disease,altruist,0.3,21,35,2,0.3,24.01,OK
247,disease,altruist,0.3,21,35,3,0.4,24.28,OK
248,disease,altruist,0.3,21,60,0,26.9,32.94,OK
249,disease,altruist,0.3,21,60,0.1,0.6,23.87,OK
250,disease,altruist,0.3,21,60,0.25,0.5,24.72,OK
251,disease,altruist,0.3,21,60,0.5,0.5,23.01,OK
252,disease,altruist,0.3,21,60,1,0.5,24.08,OK
253,disease,altruist,0.3,21,60,2,0.5,24.24,OK
254,disease,altruist,0.3,21,60,3,0.5,22.92,OK
255,disease,altruist,0.6,5,10,0,18.7,30.18,OK
256,disease,altruist,0.6,5,10,0.1,0.3,22.76,OK
257,disease,altruist,0.6,5,10,0.25,0.3,23.08,OK
258,disease,altruist,0.6,5,10,0.5,0.3,23.8,OK
259,disease,altruist,0.6,5,10,1,0.3,25.48,OK
260,disease,altruist,0.6,5,10,2,0.2,24.15,OK
261,disease,altruist,0.6,5,10,3,0.2,23.78,OK
262,disease,altruist,0.6,5,35,0,15.8,29.54,OK
263,disease,altruist,0.6,5,35,0.1,0.4,22.48,OK
264,disease,altruist,0.6,5,35,0.25,0.4,23.75,OK
265,disease,altruist,0.6,5,35,0.5,0.4,22.5,OK
266,disease,altruist,0.6,5,35,1,0.4,24.31,OK
267,disease,altruist,0.6,5,35,2,0.4,24.66,OK
268,disease,altruist,0.6,5,35,3,0.3,25.53,OK
269,disease,altruist,0.6,5,60,0,16.5,31.04,OK
270,disease,altruist,0.6,5,60,0.1,5.2,25.65,OK
