job_id,run_type,framework,diseaseTransmissionChance,diseaseTagStringLength,agentImmuneSystemLength,diseaseSugarMetabolismPenalty,duration_seconds,peak_memory_mb,status
1051,disease,asimov,0.6,13,60,0.1,0.7,24.11,OK
1052,disease,asimov,0.6,13,60,0.25,0.5,24.53,OK
1053,disease,asimov,0.6,13,60,0.5,0.5,23.84,OK
1054,disease,asimov,0.6,13,60,1,0.5,24.84,OK
1055,disease,asimov,0.6,13,60,2,0.5,22.94,OK
1056,disease,asimov,0.6,13,60,3,0.5,22.77,OK
1057,disease,asimov,0.6,21,10,0,26.6,31.73,OK
1058,disease,asimov,0.6,21,10,0.1,0.3,22.85,OK
1059,disease,asimov,0.6,21,10,0.25,0.3,23.78,OK
1060,disease,asimov,0.6,21,10,0.5,0.4,24.8,OK
1061,disease,asimov,0.6,21,10,1,0.4,22.78,OK
1062,disease,asimov,0.6,21,10,2,0.3,22.63,OK
1063,disease,asimov,0.6,21,10,3,0.3,22.82,OK
1064,disease,asimov,0.6,21,35,0,26.9,32.3,OK
1065,disease,asimov,0.6,21,35,0.1,0.4,22.52,OK
1066,disease,asimov,0.6,21,35,0.25,0.4,24.48,OK
1067,disease,asimov,0.6,21,35,0.5,0.4,22.82,OK
1068,disease,asimov,0.6,21,35,1,0.4,22.86,OK
1069,disease,asimov,0.6,21,35,2,0.4,22.51,OK
1070,disease,asimov,0.6,21,35,3,0.4,24.39,OK
1071,disease,asimov,0.6,21,60,0,27.5,31.62,OK
1072,disease,asimov,0.6,21,60,0.1,0.6,23.81,OK
1073,disease,asimov,0.6,21,60,0.25,0.6,27.29,OK
1074,disease,asimov,0.6,21,60,0.5,0.6,24.43,OK
1075,disease,asimov,0.6,21,60,1,0.6,23.84,OK
1076,disease,asimov,0.6,21,60,2,0.6,24.88,OK
1077,disease,asimov,0.6,21,60,3,0.6,23.1,OK
1078,disease,asimov,1.0,5,10,0,21.3,31.35,OK
1079,disease,asimov,1.0,5,10,0.1,0.3,23.89,OK
1080,disease,asimov,1.0,5,10,0.25,0.3,22.73,OK
