job_id,run_type,framework,diseaseTransmissionChance,diseaseTagStringLength,agentImmuneSystemLength,diseaseSugarMetabolismPenalty,duration_seconds,peak_memory_mb,status
1471,disease,temperancePECS,1.0,5,35,3,0.3,22.66,OK
1472,disease,temperancePECS,1.0,5,60,0,19.3,31.98,OK
1473,disease,temperancePECS,1.0,5,60,0.1,5.5,27.03,OK
1474,disease,temperancePECS,1.0,5,60,0.25,5.2,24.21,OK
1475,disease,temperancePECS,1.0,5,60,0.5,5.6,24.13,OK
1476,disease,temperancePECS,1.0,5,60,1,5.4,27.2,OK
1477,disease,temperancePECS,1.0,5,60,2,5.4,26.69,OK
1478,disease,temperancePECS,1.0,5,60,3,5.6,25.84,OK
1479,disease,temperancePECS,1.0,13,10,0,30.7,32.77,OK
1480,disease,temperancePECS,1.0,13,10,0.1,0.3,24.6,OK
1481,disease,temperancePECS,1.0,13,10,0.25,0.3,24.62,OK
1482,disease,temperancePECS,1.0,13,10,0.5,0.3,23.38,OK
1483,disease,temperancePECS,1.0,13,10,1,0.3,23.31,OK
1484,disease,temperancePECS,1.0,13,10,2,0.3,25.5,OK
1485,disease,temperancePECS,1.0,13,10,3,0.3,22.59,OK
1486,disease,temperancePECS,1.0,13,35,0,28.8,32.15,OK
1487,disease,temperancePECS,1.0,13,35,0.1,0.4,24.3,OK
1488,disease,temperancePECS,1.0,13,35,0.25,0.4,24.19,OK
1489,disease,temperancePECS,1.0,13,35,0.5,0.4,24.0,OK
1490,disease,temperancePECS,1.0,13,35,1,0.4,24.59,OK
1491,disease,temperancePECS,1.0,13,35,2,0.4,22.73,OK
1492,disease,temperancePECS,1.0,13,35,3,0.4,23.73,OK
1493,disease,temperancePECS,1.0,13,60,0,29.2,34.75,OK
1494,disease,temperancePECS,1.0,13,60,0.1,0.6,24.23,OK
1495,disease,temperancePECS,1.0,13,60,0.25,0.6,24.79,OK
1496,disease,temperancePECS,1.0,13,60,0.5,0.6,24.51,OK
1497,disease,temperancePECS,1.0,13,60,1,0.6,23.79,OK
1498,disease,temperancePECS,1.0,13,60,2,0.5,23.62,OK
1499,disease,temperancePECS,1.0,13,60,3,0.6,24.08,OK
1500,disease,temperancePECS,1.0,21,10,0,29.1,33.8,OK
