job_id,run_type,framework,diseaseTransmissionChance,diseaseTagStringLength,agentImmuneSystemLength,diseaseSugarMetabolismPenalty,duration_seconds,peak_memory_mb,status
271,disease,altruist,0.6,5,60,0.25,5.0,26.86,OK
272,disease,altruist,0.6,5,60,0.5,5.0,24.02,OK
273,disease,altruist,0.6,5,60,1,4.9,25.58,OK
274,disease,altruist,0.6,5,60,2,5.0,24.45,OK
275,disease,altruist,0.6,5,60,3,5.0,24.98,OK
276,disease,altruist,0.6,13,10,0,25.0,31.66,OK
277,disease,altruist,0.6,13,10,0.1,0.2,24.72,OK
278,disease,altruist,0.6,13,10,0.25,0.2,23.36,OK
279,disease,altruist,0.6,13,10,0.5,0.2,22.94,OK
280,disease,altruist,0.6,13,10,1,0.2,22.76,OK
281,disease,altruist,0.6,13,10,2,0.2,24.25,OK
282,disease,altruist,0.6,13,10,3,0.2,23.67,OK
283,disease,altruist,0.6,13,35,0,23.7,31.0,OK
284,disease,altruist,0.6,13,35,0.1,0.4,27.39,OK
285,disease,altruist,0.6,13,35,0.25,0.4,24.06,OK
286,disease,altruist,0.6,13,35,0.5,0.3,25.53,OK
287,disease,altruist,0.6,13,35,1,0.3,24.55,OK
288,disease,altruist,0.6,13,35,2,0.3,25.03,OK
289,disease,altruist,0.6,13,35,3,0.3,24.42,OK
290,disease,altruist,0.6,13,60,0,24.8,32.46,OK
291,disease,altruist,0.6,13,60,0.1,0.5,23.91,OK
292,disease,altruist,0.6,13,60,0.25,0.5,24.09,OK
293,disease,altruist,0.6,13,60,0.5,0.5,24.52,OK
294,disease,altruist,0.6,13,60,1,0.5,23.43,OK
295,disease,altruist,0.6,13,60,2,0.5,24.44,OK
296,disease,altruist,0.6,13,60,3,0.5,22.86,OK
297,disease,altruist,0.6,21,10,0,25.3,32.81,OK
298,disease,altruist,0.6,21,10,0.1,0.2,22.72,OK
299,disease,altruist,0.6,21,10,0.25,0.2,23.88,OK
300,disease,altruist,0.6,21,10,0.5,0.2,23.7,OK
