job_id,run_type,framework,diseaseTransmissionChance,diseaseTagStringLength,agentImmuneSystemLength,diseaseSugarMetabolismPenalty,duration_seconds,peak_memory_mb,status
451,disease,bentham,0.6,5,10,3,0.5,23.41,OK
452,disease,bentham,0.6,5,35,0,16.0,30.0,OK
453,disease,bentham,0.6,5,35,0.1,0.4,22.78,OK
454,disease,bentham,0.6,5,35,0.25,0.4,24.63,OK
455,disease,bentham,0.6,5,35,0.5,0.4,24.57,OK
456,disease,bentham,0.6,5,35,1,0.4,23.93,OK
457,disease,bentham,0.6,5,35,2,0.4,23.79,OK
458,disease,bentham,0.6,5,35,3,0.5,22.44,OK
459,disease,bentham,0.6,5,60,0,16.6,30.12,OK
460,disease,bentham,0.6,5,60,0.1,5.5,27.06,OK
461,disease,bentham,0.6,5,60,0.25,5.1,26.23,OK
462,disease,bentham,0.6,5,60,0.5,5.2,24.24,OK
463,disease,bentham,0.6,5,60,1,5.1,24.38,OK
464,disease,bentham,0.6,5,60,2,5.7,25.5,OK
465,disease,bentham,0.6,5,60,3,5.1,25.04,OK
466,disease,bentham,0.6,13,10,0,26.4,31.89,OK
467,disease,bentham,0.6,13,10,0.1,0.3,23.65,OK
468,disease,bentham,0.6,13,10,0.25,0.3,23.43,OK
469,disease,bentham,0.6,13,10,0.5,0.3,24.27,OK
470,disease,bentham,0.6,13,10,1,0.3,23.0,OK
471,disease,bentham,0.6,13,10,2,0.3,24.19,OK
472,disease,bentham,0.6,13,10,3,0.3,24.41,OK
473,disease,bentham,0.6,13,35,0,24.9,30.93,OK
474,disease,bentham,0.6,13,35,0.1,0.4,24.18,OK
475,disease,bentham,0.6,13,35,0.25,0.4,24.45,OK
476,disease,bentham,0.6,13,35,0.5,0.4,22.98,OK
477,disease,bentham,0.6,13,35,1,0.4,24.42,OK
478,disease,bentham,0.6,13,35,2,0.4,24.36,OK
479,disease,bentham,0.6,13,35,3,0.4,25.02,OK
480,disease,bentham,0.6,13,60,0,26.4,31.67,OK
