job_id,run_type,framework,diseaseTransmissionChance,diseaseTagStringLength,agentImmuneSystemLength,diseaseSugarMetabolismPenalty,duration_seconds,peak_memory_mb,status
601,disease,egoist,0.3,13,35,0.1,0.5,22.53,OK
602,disease,egoist,0.3,13,35,0.25,0.4,24.05,OK
603,disease,egoist,0.3,13,35,0.5,0.4,24.77,OK
604,disease,egoist,0.3,13,35,1,0.4,24.23,OK
605,disease,egoist,0.3,13,35,2,0.4,24.5,OK
606,disease,egoist,0.3,13,35,3,0.4,22.97,OK
607,disease,egoist,0.3,13,60,0,26.5,30.99,OK
608,disease,egoist,0.3,13,60,0.1,0.5,24.2,OK
609,disease,egoist,0.3,13,60,0.25,0.5,22.83,OK
610,disease,egoist,0.3,13,60,0.5,0.5,24.04,OK
611,disease,egoist,0.3,13,60,1,0.5,25.32,OK
612,disease,egoist,0.3,13,60,2,0.5,22.62,OK
613,disease,egoist,0.3,13,60,3,0.5,24.89,OK
614,disease,egoist,0.3,21,10,0,28.5,32.55,OK
615,disease,egoist,0.3,21,10,0.1,0.3,24.12,OK
616,disease,egoist,0.3,21,10,0.25,0.2,22.77,OK
617,disease,egoist,0.3,21,10,0.5,0.3,24.48,OK
618,disease,egoist,0.3,21,10,1,0.3,24.43,OK
619,disease,egoist,0.3,21,10,2,0.2,24.14,OK
620,disease,egoist,0.3,21,10,3,0.3,25.2,OK
621,disease,egoist,0.3,21,35,0,26.8,31.64,OK
622,disease,egoist,0.3,21,35,0.1,0.4,24.17,OK
623,disease,egoist,0.3,21,35,0.25,0.4,22.86,OK
624,disease,egoist,0.3,21,35,0.5,0.4,22.69,OK
625,disease,egoist,0.3,21,35,1,0.4,23.97,OK
626,disease,egoist,0.3,21,35,2,0.4,24.78,OK
627,disease,egoist,0.3,21,35,3,0.4,24.32,OK
628,disease,egoist,0.3,21,60,0,29.6,31.8,OK
629,disease,egoist,0.3,21,60,0.1,0.6,22.82,OK
630,disease,egoist,0.3,21,60,0.25,0.6,24.14,OK
