job_id,run_type,framework,diseaseTransmissionChance,diseaseTagStringLength,agentImmuneSystemLength,diseaseSugarMetabolismPenalty,duration_seconds,peak_memory_mb,status
1261,disease,temperance,0.6,21,60,0,32.3,32.46,OK
1262,disease,temperance,0.6,21,60,0.1,0.6,22.84,OK
1263,disease,temperance,0.6,21,60,0.25,0.6,22.98,OK
1264,disease,temperance,0.6,21,60,0.5,0.6,24.41,OK
1265,disease,temperance,0.6,21,60,1,0.6,22.91,OK
1266,disease,temperance,0.6,21,60,2,0.6,23.7,OK
1267,disease,temperance,0.6,21,60,3,0.6,22.75,OK
1268,disease,temperance,1.0,5,10,0,25.0,31.4,OK
1269,disease,temperance,1.0,5,10,0.1,0.3,22.95,OK
1270,disease,temperance,1.0,5,10,0.25,0.3,24.5,OK
1271,disease,temperance,1.0,5,10,0.5,0.3,23.61,OK
1272,disease,temperance,1.0,5,10,1,0.3,24.29,OK
1273,disease,temperance,1.0,5,10,2,0.3,22.93,OK
1274,disease,temperance,1.0,5,10,3,0.3,23.7,OK
1275,disease,temperance,1.0,5,35,0,18.7,30.15,OK
1276,disease,temperance,1.0,5,35,0.1,0.4,24.18,OK
1277,disease,temperance,1.0,5,35,0.25,0.4,24.01,OK
1278,disease,temperance,1.0,5,35,0.5,0.4,23.79,OK
1279,disease,temperance,1.0,5,35,1,0.4,23.02,OK
1280,disease,temperance,1.0,5,35,2,0.4,23.58,OK
1281,disease,temperance,1.0,5,35,3,0.4,22.62,OK
1282,disease,temperance,1.0,5,60,0,19.5,30.54,OK
1283,disease,temperance,1.0,5,60,0.1,5.2,27.35,OK
1284,disease,temperance,1.0,5,60,0.25,5.3,27.27,OK
1285,disease,temperance,1.0,5,60,0.5,5.6,25.88,OK
1286,disease,temperance,1.0,5,60,1,5.5,24.41,OK
1287,disease,temperance,1.0,5,60,2,5.3,24.13,OK
1288,disease,temperance,1.0,5,60,3,5.3,25.16,OK
1289,disease,temperance,1.0,13,10,0,33.2,32.8,OK
1290,disease,temperance,1.0,13,10,0.1,0.3,24.37,OK
