job_id,run_type,framework,diseaseTransmissionChance,diseaseTagStringLength,agentImmuneSystemLength,diseaseSugarMetabolismPenalty,duration_seconds,peak_memory_mb,status
31,disease,none,0.3,13,35,0.1,0.5,22.95,OK
32,disease,none,0.3,13,35,0.25,0.4,23.93,OK
33,disease,none,0.3,13,35,0.5,0.4,25.6,OK
34,disease,none,0.3,13,35,1,0.4,23.05,OK
35,disease,none,0.3,13,35,2,0.4,24.68,OK
36,disease,none,0.3,13,35,3,0.4,22.89,OK
37,disease,none,0.3,13,60,0,28.2,31.55,OK
38,disease,none,0.3,13,60,0.1,0.5,24.67,OK
39,disease,none,0.3,13,60,0.25,0.5,23.76,OK
40,disease,none,0.3,13,60,0.5,0.5,24.21,OK
41,disease,none,0.3,13,60,1,0.5,23.47,OK
42,disease,none,0.3,13,60,2,0.5,24.68,OK
43,disease,none,0.3,13,60,3,0.5,24.5,OK
44,disease,none,0.3,21,10,0,30.2,31.87,OK
45,disease,none,0.3,21,10,0.1,0.3,24.44,OK
46,disease,none,0.3,21,10,0.25,0.3,23.07,OK
47,disease,none,0.3,21,10,0.5,0.3,22.52,OK
48,disease,none,0.3,21,10,1,0.3,23.37,OK
49,disease,none,0.3,21,10,2,0.3,25.27,OK
50,disease,none,0.3,21,10,3,0.3,24.07,OK
51,disease,none,0.3,21,35,0,28.5,30.55,OK
52,disease,none,0.3,21,35,0.1,0.4,25.75,OK
53,disease,none,0.3,21,35,0.25,0.4,23.77,OK
54,disease,none,0.3,21,35,0.5,0.4,24.54,OK
55,disease,none,0.3,21,35,1,0.4,24.72,OK
56,disease,none,0.3,21,35,2,0.4,24.82,OK
57,disease,none,0.3,21,35,3,0.4,22.62,OK
58,disease,none,0.3,21,60,0,31.5,32.64,OK
59,disease,none,0.3,21,60,0.1,0.6,22.91,OK
60,disease,none,0.3,21,60,0.25,0.6,24.13,OK
