job_id,run_type,framework,diseaseTransmissionChance,diseaseTagStringLength,agentImmuneSystemLength,diseaseSugarMetabolismPenalty,duration_seconds,peak_memory_mb,status
91,disease,none,0.6,13,10,2,0.4,22.96,OK
92,disease,none,0.6,13,10,3,0.3,23.94,OK
93,disease,none,0.6,13,35,0,26.5,30.72,OK
94,disease,none,0.6,13,35,0.1,0.4,24.68,OK
95,disease,none,0.6,13,35,0.25,0.4,22.83,OK
96,disease,none,0.6,13,35,0.5,0.4,24.17,OK
97,disease,none,0.6,13,35,1,0.4,24.23,OK
98,disease,none,0.6,13,35,2,0.4,24.39,OK
99,disease,none,0.6,13,35,3,0.4,25.46,OK
100,disease,none,0.6,13,60,0,27.8,32.4,OK
101,disease,none,0.6,13,60,0.1,0.5,24.68,OK
102,disease,none,0.6,13,60,0.25,0.5,22.92,OK
103,disease,none,0.6,13,60,0.5,0.5,25.11,OK
104,disease,none,0.6,13,60,1,0.5,23.75,OK
105,disease,none,0.6,13,60,2,0.5,23.83,OK
106,disease,none,0.6,13,60,3,0.5,23.89,OK
107,disease,none,0.6,21,10,0,28.1,32.03,OK
108,disease,none,0.6,21,10,0.1,0.3,23.89,OK
109,disease,none,0.6,21,10,0.25,0.3,21.83,OK
110,disease,none,0.6,21,10,0.5,0.3,23.02,OK
111,disease,none,0.6,21,10,1,0.3,24.08,OK
112,disease,none,0.6,21,10,2,0.3,23.84,OK
113,disease,none,0.6,21,10,3,0.3,22.57,OK
114,disease,none,0.6,21,35,0,28.3,31.21,OK
115,disease,none,0.6,21,35,0.1,0.4,24.46,OK
116,disease,none,0.6,21,35,0.25,0.4,24.14,OK
117,disease,none,0.6,21,35,0.5,0.4,22.74,OK
118,disease,none,0.6,21,35,1,0.4,23.86,OK
119,disease,none,0.6,21,35,2,0.4,22.74,OK
120,disease,none,0.6,21,35,3,0.4,22.72,OK
