job_id,run_type,framework,diseaseTransmissionChance,diseaseTagStringLength,agentImmuneSystemLength,diseaseSugarMetabolismPenalty,duration_seconds,peak_memory_mb,status
421,disease,bentham,0.3,13,60,1,0.7,24.57,OK
422,disease,bentham,0.3,13,60,2,0.5,23.86,OK
423,disease,bentham,0.3,13,60,3,0.6,23.81,OK
424,disease,bentham,0.3,21,10,0,26.1,31.83,OK
425,disease,bentham,0.3,21,10,0.1,0.3,21.67,OK
426,disease,bentham,0.3,21,10,0.25,0.3,24.05,OK
427,disease,bentham,0.3,21,10,0.5,0.3,23.99,OK
428,disease,bentham,0.3,21,10,1,0.3,25.14,OK
429,disease,bentham,0.3,21,10,2,0.3,22.84,OK
430,disease,bentham,0.3,21,10,3,0.3,24.14,OK
431,disease,bentham,0.3,21,35,0,24.5,30.78,OK
432,disease,bentham,0.3,21,35,0.1,0.4,24.79,OK
433,disease,bentham,0.3,21,35,0.25,0.4,23.02,OK
434,disease,bentham,0.3,21,35,0.5,0.4,24.07,OK
435,disease,bentham,0.3,21,35,1,0.4,22.82,OK
436,disease,bentham,0.3,21,35,2,0.4,24.5,OK
437,disease,bentham,0.3,21,35,3,0.4,23.01,OK
438,disease,bentham,0.3,21,60,0,27.8,31.79,OK
439,disease,bentham,0.3,21,60,0.1,0.6,24.61,OK
440,disease,bentham,0.3,21,60,0.25,0.6,23.55,OK
441,disease,bentham,0.3,21,60,0.5,0.6,24.23,OK
442,disease,bentham,0.3,21,60,1,0.6,24.78,OK
443,disease,bentham,0.3,21,60,2,0.6,24.03,OK
444,disease,bentham,0.3,21,60,3,0.6,24.86,OK
445,disease,bentham,0.6,5,10,0,18.9,30.61,OK
446,disease,bentham,0.6,5,10,0.1,0.3,22.96,OK
447,disease,bentham,0.6,5,10,0.25,0.3,22.79,OK
448,disease,bentham,0.6,5,10,0.5,0.3,22.93,OK
449,disease,bentham,0.6,5,10,1,0.3,24.45,OK
450,disease,bentham,0.6,5,10,2,0.3,22.24,OK
