job_id,run_type,framework,diseaseTransmissionChance,diseaseTagStringLength,agentImmuneSystemLength,diseaseSugarMetabolismPenalty,duration_seconds,peak_memory_mb,status
661,disease,egoist,0.6,13,10,2,0.4,24.48,OK
662,disease,egoist,0.6,13,10,3,0.3,22.52,OK
663,disease,egoist,0.6,13,35,0,28.2,30.92,OK
664,disease,egoist,0.6,13,35,0.1,0.4,22.96,OK
665,disease,egoist,0.6,13,35,0.25,0.4,22.54,OK
666,disease,egoist,0.6,13,35,0.5,0.4,22.7,OK
667,disease,egoist,0.6,13,35,1,0.4,25.54,OK
668,disease,egoist,0.6,13,35,2,0.4,25.59,OK
669,disease,egoist,0.6,13,35,3,0.4,22.6,OK
670,disease,egoist,0.6,13,60,0,28.2,31.82,OK
671,disease,egoist,0.6,13,60,0.1,0.5,24.22,OK
672,disease,egoist,0.6,13,60,0.25,0.5,23.15,OK
673,disease,egoist,0.6,13,60,0.5,0.5,22.88,OK
674,disease,egoist,0.6,13,60,1,0.5,22.73,OK
675,disease,egoist,0.6,13,60,2,0.5,24.42,OK
676,disease,egoist,0.6,13,60,3,0.5,22.91,OK
677,disease,egoist,0.6,21,10,0,29.0,32.6,OK
678,disease,egoist,0.6,21,10,0.1,0.2,24.11,OK
679,disease,egoist,0.6,21,10,0.25,0.3,24.7,OK
680,disease,egoist,0.6,21,10,0.5,0.3,23.61,OK
681,disease,egoist,0.6,21,10,1,0.3,25.23,OK
682,disease,egoist,0.6,21,10,2,0.3,22.48,OK
683,disease,egoist,0.6,21,10,3,0.3,22.5,OK
684,disease,egoist,0.6,21,35,0,28.2,31.13,OK
685,disease,egoist,0.6,21,35,0.1,0.4,22.76,OK
686,disease,egoist,0.6,21,35,0.25,0.4,24.27,OK
687,disease,egoist,0.6,21,35,0.5,0.4,23.0,OK
688,disease,egoist,0.6,21,35,1,0.4,24.29,OK
689,disease,egoist,0.6,21,35,2,0.4,22.8,OK
690,disease,egoist,0.6,21,35,3,0.4,24.0,OK
