job_id,run_type,framework,diseaseTransmissionChance,diseaseTagStringLength,agentImmuneSystemLength,diseaseSugarMetabolismPenalty,duration_seconds,peak_memory_mb,status
901,disease,negativeBentham,1.0,5,35,3,0.3,23.91,OK
902,disease,negativeBentham,1.0,5,60,0,17.3,31.64,OK
903,disease,negativeBentham,1.0,5,60,0.1,5.2,24.33,OK
904,disease,negativeBentham,1.0,5,60,0.25,5.2,24.58,OK
905,disease,negativeBentham,1.0,5,60,0.5,5.4,25.24,OK
906,disease,negativeBentham,1.0,5,60,1,5.1,26.22,OK
907,disease,negativeBentham,1.0,5,60,2,5.3,28.0,OK
908,disease,negativeBentham,1.0,5,60,3,5.3,24.01,OK
909,disease,negativeBentham,1.0,13,10,0,29.8,32.61,OK
910,disease,negativeBentham,1.0,13,10,0.1,0.3,24.62,OK
911,disease,negativeBentham,1.0,13,10,0.25,0.3,23.0,OK
912,disease,negativeBentham,1.0,13,10,0.5,0.3,23.0,OK
913,disease,negativeBentham,1.0,13,10,1,0.3,24.63,OK
914,disease,negativeBentham,1.0,13,10,2,0.3,22.98,OK
915,disease,negativeBentham,1.0,13,10,3,0.3,23.03,OK
916,disease,negativeBentham,1.0,13,35,0,28.0,32.09,OK
917,disease,negativeBentham,1.0,13,35,0.1,0.4,24.37,OK
918,disease,negativeBentham,1.0,13,35,0.25,0.4,25.64,OK
919,disease,negativeBentham,1.0,13,35,0.5,0.4,23.06,OK
920,disease,negativeBentham,1.0,13,35,1,0.4,24.27,OK
921,disease,negativeBentham,1.0,13,35,2,0.4,23.47,OK
922,disease,negativeBentham,1.0,13,35,3,0.4,24.39,OK
923,disease,negativeBentham,1.0,13,60,0,29.1,32.39,OK
924,disease,negativeBentham,1.0,13,60,0.1,0.5,23.17,OK
925,disease,negativeBentham,1.0,13,60,0.25,0.5,23.88,OK
926,disease,negativeBentham,1.0,13,60,0.5,0.5,24.19,OK
927,disease,negativeBentham,1.0,13,60,1,0.5,23.57,OK
928,disease,negativeBentham,1.0,13,60,2,0.5,22.9,OK
929,disease,negativeBentham,1.0,13,60,3,0.5,22.91,OK
930,disease,negativeBentham,1.0,21,10,0,30.1,35.84,OK
