t_seconds,cum_sims
7.657665,456
7.669261,457
7.669309,458
7.712898,459
7.715845,460
7.719374,461
7.757969,462
7.857266,463
7.860467,464
7.877248,465
7.879533,466
7.934047,467
7.984709,468
8.001712,469
8.019986,470
8.037124,471
8.058518,472
8.138578,473
8.294115,474
8.368946,475
8.391102,476
8.422579,477
8.424105,478
8.470767,479
8.505872,480
8.564341,481
8.568222,482
8.621694,483
8.646113,484
8.662713,485
8.69688,486
8.700097,487
8.722316,488
8.751064,489
8.762277,490
8.790948,491
8.856881,492
8.863741,493
8.915991,494
8.917611,495
8.923054,496
8.948998,497
8.999667,498
9.006175,499
9.018318,500
9.055131,501
9.07175,502
9.166106,503
9.197729,504
9.251048,505
9.266221,506
9.307097,507
9.39585,508
9.430335,509
9.463405,510
9.464012,511
9.519667,512
9.558001,513
9.57692,514
9.580713,515
9.776103,516
9.795737,517
9.798105,518
9.813222,519
9.842335,520
9.850411,521
9.856282,522
9.866809,523
9.903706,524
9.953588,525
9.964552,526
9.971133,527
9.982642,528
10.076268,529
10.118998,530
10.151986,531
10.177835,532
10.220371,533
10.24357,534
10.318316,535
10.384404,536
10.439692,537
10.475803,538
10.538098,539
10.560802,540
10.685676,541
10.687541,542
10.708882,543
10.711313,544
10.765263,545
10.800764,546
10.805231,547
10.822807,548
10.825609,549
10.852719,550
10.997408,551
11.011,552
11.096578,553
11.10185,554
11.129513,555
11.134556,556
11.168071,557
11.178546,558
11.18707,559
11.193412,560
11.198726,561
11.22278,562
11.257897,563
11.257999,564
11.259958,565
11.263796,566
11.299167,567
11.333244,568
11.38154,569
11.390518,570
11.400643,571
11.443858,572
11.470761,573
11.500147,574
11.520951,575
11.528987,576
11.692077,577
11.716546,578
11.811043,579
11.83473,580
11.839053,581
11.842779,582
11.84967,583
11.894261,584
11.896838,585
11.974038,586
11.996097,587
12.022512,588
12.025088,589
12.043476,590
12.051203,591
12.145397,592
12.147,593
12.150535,594
12.163692,595
12.30048,596
12.37361,597
12.38682,598
12.392664,599
12.418897,600
12.451832,601
12.486375,602
12.504964,603
12.543909,604
12.554507,605
12.576378,606
12.580858,607
12.587084,608
12.607794,609
12.610816,610
12.622918,611
12.706104,612
12.752915,613
12.79006,614
12.793691,615
12.839915,616
12.862916,617
12.891866,618
12.899112,619
12.924871,620
12.966131,621
13.038292,622
13.039998,623
13.090224,624
13.12184,625
13.121872,626
13.173578,627
13.215914,628
13.220836,629
13.264918,630
13.268391,631
13.393205,632
13.41046,633
13.413995,634
13.484684,635
13.502725,636
13.507018,637
13.534661,638
13.665288,639
13.702018,640
13.719196,641
13.757662,642
13.757806,643
13.802384,644
13.849031,645
13.871882,646
13.875762,647
13.931599,648
13.983647,649
13.987814,650
13.995316,651
14.030857,652
14.031087,653
14.05528,654
14.078798,655
14.089444,656
14.124192,657
14.131669,658
14.151427,659
14.211661,660
14.265349,661
14.290081,662
14.338182,663
14.347908,664
14.377786,665
14.389606,666
14.411793,667
14.442676,668
14.442787,669
14.443135,670
14.448699,671
14.487344,672
14.498126,673
14.512772,674
14.53043,675
14.562653,676
14.589479,677
14.593712,678
14.594312,679
14.599435,680
14.603685,681
14.637152,682
14.679213,683
14.686273,684
14.703156,685
14.731119,686
14.793761,687
14.796126,688
14.818809,689
14.835814,690
14.876184,691
14.91409,692
14.921,693
14.924972,694
14.984146,695
15.020574,696
15.029508,697
15.042128,698
15.121791,699
15.130673,700
15.165587,701
15.188959,702
15.225415,703
15.244284,704
15.277249,705
15.280221,706
15.280613,707
15.314175,708
15.321019,709
15.341263,710
15.370871,711
15.390233,712
15.391088,713
15.412679,714
15.455511,715
15.473979,716
15.517162,717
15.521805,718
15.523987,719
15.536276,720
15.570323,721
15.627763,722
15.661255,723
15.675488,724
15.678565,725
15.756482,726
15.769806,727
15.803704,728
15.80753,729
15.811063,730
15.841652,731
15.848113,732
15.861662,733
15.887187,734
15.920185,735
15.927727,736
15.946179,737
15.958655,738
15.972616,739
15.973702,740
16.065813,741
16.071181,742
16.072536,743
16.096658,744
16.099774,745
16.100729,746
16.152476,747
16.165832,748
16.166546,749
16.207988,750
16.212396,751
16.22071,752
16.248744,753
16.269001,754
16.296677,755
16.315063,756
16.341846,757
16.348058,758
16.354322,759
16.438317,760
16.459755,761
16.489772,762
16.493449,763
16.49744,764
16.504867,765
16.524913,766
16.529768,767
16.554639,768
16.577402,769
16.580987,770
16.597828,771
16.602808,772
16.61585,773
16.631215,774
16.661829,775
16.667439,776
16.672373,777
16.678101,778
16.687589,779
16.705968,780
16.730154,781
16.736085,782
16.747182,783
16.78237,784
16.788741,785
16.823461,786
16.834854,787
16.851986,788
16.854793,789
16.967756,790
16.969624,791
16.972968,792
16.981701,793
17.007675,794
17.075674,795
17.0817,796
17.099891,797
17.104148,798
17.127366,799
17.129367,800
17.135273,801
17.1387,802
17.146748,803
17.151686,804
17.152213,805
17.204629,806
17.219065,807
17.229994,808
17.234468,809
17.252264,810
17.349622,811
17.370014,812
17.396677,813
17.415734,814
17.430261,815
17.447974,816
17.48895,817
17.507277,818
17.539431,819
17.542356,820
17.549908,821
17.562421,822
17.58978,823
17.642989,824
17.652537,825
17.662672,826
17.695029,827
17.745598,828
17.768384,829
17.786307,830
17.789891,831
17.795432,832
17.800087,833
17.811097,834
17.818702,835
17.825372,836
17.852836,837
17.901533,838
17.906668,839
17.936386,840
17.965734,841
17.967774,842
17.974438,843
17.992432,844
17.995905,845
18.007739,846
18.019996,847
18.023618,848
18.027472,849
18.093019,850
18.102229,851
18.103206,852
18.118776,853
18.157749,854
18.157775,855
18.173671,856
18.188966,857
18.208411,858
18.219351,859
18.29267,860
18.294341,861
18.299159,862
18.306152,863
18.33042,864
18.342635,865
18.352828,866
18.427793,867
18.447804,868
18.539683,869
18.543921,870
18.555157,871
18.566894,872
18.58445,873
18.599868,874
18.605652,875
18.617766,876
18.655119,877
18.658225,878
18.667845,879
18.685149,880
18.697989,881
18.705567,882
18.758421,883
18.771744,884
18.781997,885
18.793674,886
18.826416,887
18.901708,888
18.929562,889
18.950645,890
18.957282,891
18.964442,892
18.972309,893
18.973761,894
18.978468,895
19.021709,896
19.03801,897
19.052,898
19.080733,899
19.103353,900
19.129128,901
19.174771,902
19.179111,903
19.22251,904
19.224776,905
19.238582,906
19.266991,907
19.283546,908
19.30819,909
19.32615,910
19.439715,911
19.490823,912
19.491574,913
19.508165,914
19.514139,915
19.526321,916
19.535946,917
19.54031,918
19.613277,919
19.691297,920
19.693736,921
19.72971,922
19.741559,923
19.759915,924
19.79494,925
19.797917,926
19.835902,927
19.916003,928
19.929871,929
19.981892,930
19.983463,931
20.021226,932
20.143494,933
20.203156,934
20.227893,935
20.230282,936
20.299704,937
20.315014,938
20.361112,939
20.384796,940
20.414373,941
20.419027,942
20.41909,943
20.439644,944
20.443624,945
20.457925,946
20.48323,947
20.507069,948
20.515913,949
20.5438,950
20.578848,951
20.609183,952
20.61596,953
20.618671,954
20.629226,955
20.634643,956
20.636928,957
20.665866,958
20.70235,959
20.707556,960
20.744601,961
20.748047,962
20.759971,963
20.859914,964
20.899817,965
20.907505,966
20.941202,967
20.941244,968
20.958297,969
20.974462,970
20.983824,971
20.989389,972
21.023784,973
21.036888,974
21.045882,975
21.050575,976
21.056045,977
21.088557,978
21.093532,979
21.094666,980
21.100684,981
21.115781,982
21.12295,983
21.152027,984
21.186915,985
21.194258,986
21.256202,987
21.263901,988
21.275318,989
21.280906,990
21.286141,991
21.31547,992
21.367819,993
21.374664,994
21.374706,995
21.386268,996
21.389134,997
21.421657,998
21.443462,999
21.48194,1000
21.490026,1001
21.495721,1002
21.51222,1003
21.51785,1004
21.537098,1005
21.564477,1006
21.572143,1007
21.599039,1008
21.610081,1009
21.626187,1010
21.63117,1011
21.663242,1012
21.678662,1013
21.689573,1014
21.708311,1015
21.736524,1016
21.747331,1017
21.787287,1018
21.805864,1019
21.809124,1020
21.816789,1021
21.818702,1022
21.820586,1023
21.826928,1024
21.852937,1025
21.853933,1026
21.925804,1027
21.96104,1028
21.981553,1029
21.99635,1030
22.001088,1031
22.047597,1032
22.051115,1033
22.077114,1034
22.077176,1035
22.077554,1036
22.135941,1037
22.161851,1038
22.162124,1039
22.180185,1040
22.187778,1041
22.202303,1042
22.210184,1043
22.216724,1044
22.230044,1045
22.289171,1046
22.306116,1047
22.358033,1048
22.360469,1049
22.362024,1050
22.36492,1051
22.485862,1052
22.509465,1053
22.556802,1054
22.582919,1055
22.589336,1056
22.593657,1057
22.611376,1058
22.630901,1059
22.680683,1060
22.716404,1061
22.733861,1062
22.740029,1063
22.760474,1064
22.799652,1065
22.842042,1066
22.843545,1067
22.866492,1068
22.879133,1069
22.992247,1070
23.05901,1071
23.089322,1072
23.121296,1073
23.123701,1074
23.127595,1075
23.153424,1076
23.158373,1077
23.22181,1078
23.22832,1079
23.312647,1080
23.321139,1081
23.33205,1082
23.374513,1083
23.384102,1084
23.393642,1085
23.418678,1086
23.492734,1087
23.537884,1088
23.577847,1089
23.58442,1090
23.619955,1091
23.630433,1092
23.646913,1093
23.650574,1094
23.651284,1095
23.68776,1096
23.73859,1097
23.788872,1098
23.837866,1099
23.91073,1100
23.918014,1101
23.927257,1102
23.934235,1103
23.956269,1104
24.069318,1105
24.109904,1106
24.112369,1107
24.116631,1108
24.122173,1109
24.122274,1110
24.152786,1111
24.198732,1112
24.266543,1113
24.298036,1114
24.306562,1115
24.328879,1116
24.351734,1117
24.359336,1118
24.362213,1119
24.377158,1120
24.405,1121
24.490564,1122
24.535833,1123
24.536134,1124
24.623141,1125
24.632042,1126
24.65001,1127
24.741343,1128
24.755671,1129
24.816159,1130
24.827072,1131
24.844398,1132
24.846517,1133
24.853851,1134
24.855108,1135
24.884918,1136
24.889339,1137
24.917394,1138
24.928535,1139
24.944597,1140
25.004412,1141
25.010551,1142
25.09282,1143
25.105871,1144
25.126337,1145
25.133833,1146
25.137241,1147
25.221168,1148
25.306487,1149
25.312643,1150
25.321085,1151
25.356456,1152
25.356616,1153
25.395715,1154
25.46373,1155
25.51253,1156
25.569058,1157
25.649721,1158
25.655061,1159
25.714736,1160
25.838984,1161
25.866951,1162
25.877699,1163
25.893175,1164
25.905869,1165
25.948437,1166
26.02793,1167
26.048842,1168
26.109213,1169
26.131134,1170
26.133991,1171
26.164616,1172
26.192581,1173
26.262801,1174
26.264469,1175
26.337977,1176
26.356184,1177
26.428386,1178
26.434142,1179
26.456723,1180
26.457789,1181
26.561995,1182
26.567324,1183
26.624876,1184
26.62787,1185
26.674607,1186
26.699086,1187
26.707343,1188
26.728234,1189
26.776094,1190
26.778525,1191
26.791188,1192
26.791896,1193
26.79936,1194
26.816954,1195
26.828648,1196
26.832287,1197
26.858229,1198
26.90427,1199
26.925057,1200
27.030787,1201
27.047983,1202
27.077185,1203
27.097995,1204
27.199932,1205
27.21708,1206
27.389913,1207
27.405479,1208
27.44156,1209
27.468327,1210
27.581432,1211
27.591755,1212
27.687833,1213
27.69757,1214
27.769649,1215
27.785,1216
27.847896,1217
27.90307,1218
27.911279,1219
27.929821,1220
27.964114,1221
28.027463,1222
28.054816,1223
28.093721,1224
28.124822,1225
28.126337,1226
28.141064,1227
28.220232,1228
28.222942,1229
28.224793,1230
28.228917,1231
28.281032,1232
28.289698,1233
28.294296,1234
28.325719,1235
28.36422,1236
28.379437,1237
28.402948,1238
28.405591,1239
28.448788,1240
28.522059,1241
28.527208,1242
28.570533,1243
28.652148,1244
28.696421,1245
28.754297,1246
28.810965,1247
28.824726,1248
28.915277,1249
28.935247,1250
28.966912,1251
29.008079,1252
29.016844,1253
29.026108,1254
29.058124,1255
29.168377,1256
29.230701,1257
29.255055,1258
29.26228,1259
29.315025,1260
29.336838,1261
29.37094,1262
29.441281,1263
29.560007,1264
29.566193,1265
29.576237,1266
29.617011,1267
29.62617,1268
29.632354,1269
29.64515,1270
29.668153,1271
29.669955,1272
29.751228,1273
29.885591,1274
29.930484,1275
30.003358,1276
30.075538,1277
30.155248,1278
30.195869,1279
30.260544,1280
30.366273,1281
30.390322,1282
30.422229,1283
30.432474,1284
30.530314,1285
30.566265,1286
30.576999,1287
30.586889,1288
30.621309,1289
30.629649,1290
30.692457,1291
30.692492,1292
30.694867,1293
30.716469,1294
30.736876,1295
30.758734,1296
30.800109,1297
30.956189,1298
31.092828,1299
31.193645,1300
31.201658,1301
31.275529,1302
31.296072,1303
31.369119,1304
31.46592,1305
31.580798,1306
31.654909,1307
31.828853,1308
31.828958,1309
31.835732,1310
31.897879,1311
31.92578,1312
31.984652,1313
32.011342,1314
32.042421,1315
32.076165,1316
32.106389,1317
32.138272,1318
32.174103,1319
32.213684,1320
32.269449,1321
32.29913,1322
32.311888,1323
32.312257,1324
32.411896,1325
32.514894,1326
32.537994,1327
32.556547,1328
32.570518,1329
32.582054,1330
32.739981,1331
32.875916,1332
32.983375,1333
33.089327,1334
33.13267,1335
33.220931,1336
33.259786,1337
33.264362,1338
33.286713,1339
33.313848,1340
33.346569,1341
33.39839,1342
33.471477,1343
33.569959,1344
33.69863,1345
33.789479,1346
33.867591,1347
33.917421,1348
33.966572,1349
33.981128,1350
34.091824,1351
34.237015,1352
34.389106,1353
34.420805,1354
34.49242,1355
