framework,transmission,tagLength,immunity,penalty,survived,peak_sick_percentage,avg_sick_percentage,final_population,final_gini,final_happiness,total_deaths,duration_seconds,delta_final_gini,delta_final_happiness,count
altruist,0.1,13.0,35.0,0.001,1.0,0.0,0.0,144.0,0.287,1.01,106.0,8.6,-0.013,-0.04,1
altruist,0.1,13.0,35.0,0.0025,1.0,0.0,0.0,144.0,0.287,1.01,106.0,9.9,-0.013,-0.04,1
altruist,0.1,13.0,35.0,0.005,1.0,0.0,0.0,144.0,0.287,1.01,106.0,9.9,-0.013,-0.04,1
altruist,0.1,13.0,35.0,0.01,1.0,0.0,0.0,144.0,0.287,1.01,106.0,9.8,-0.013,-0.04,1
altruist,0.1,13.0,35.0,0.1,1.0,0.0,0.0,144.0,0.287,1.01,106.0,8.1,-0.013,-0.04,1
altruist,0.1,13.0,35.0,0.25,1.0,0.0,0.0,144.0,0.287,1.01,106.0,8.6,-0.013,-0.04,1
altruist,0.1,13.0,35.0,0.5,1.0,0.0,0.0,144.0,0.287,1.01,106.0,9.9,-0.013,-0.04,1
altruist,0.1,13.0,60.0,0.0,1.0,2.0,0.0107092907092907,156.0,0.285,0.96,94.0,10.1,-0.015,-0.09,1
altruist,0.1,13.0,60.0,0.001,1.0,0.0,0.0,155.0,0.292,1.06,95.0,10.6,-0.008,0.01,1
altruist,0.1,13.0,60.0,0.0025,1.0,0.0,0.0,155.0,0.292,1.06,95.0,10.3,-0.008,0.01,1
altruist,0.1,13.0,60.0,0.005,1.0,0.0,0.0,155.0,0.292,1.06,95.0,10.8,-0.008,0.01,1
altruist,0.1,13.0,60.0,0.01,1.0,0.0,0.0,155.0,0.292,1.06,95.0,8.9,-0.008,0.01,1
altruist,0.1,13.0,60.0,0.1,1.0,0.0,0.0,155.0,0.292,1.06,95.0,9.0,-0.008,0.01,1
altruist,0.1,13.0,60.0,0.25,1.0,0.0,0.0,155.0,0.292,1.06,95.0,8.5,-0.008,0.01,1
altruist,0.1,13.0,60.0,0.5,1.0,0.0,0.0,155.0,0.292,1.06,95.0,9.3,-0.008,0.01,1
altruist,0.1,21.0,10.0,0.0,1.0,100.0,92.9147952047952,156.0,0.306,-0.95,94.0,10.6,0.006,-2.0,1
altruist,0.1,21.0,10.0,0.001,1.0,0.0,0.0,154.0,0.301,1.0,96.0,9.4,0.001,-0.05,1
altruist,0.1,21.0,10.0,0.0025,1.0,0.0,0.0,154.0,0.301,1.0,96.0,10.4,0.001,-0.05,1
altruist,0.1,21.0,10.0,0.005,1.0,0.0,0.0,154.0,0.301,1.0,96.0,8.4,0.001,-0.05,1
altruist,0.1,21.0,10.0,0.01,1.0,0.0,0.0,154.0,0.301,1.0,96.0,8.7,0.001,-0.05,1
altruist,0.1,21.0,10.0,0.1,1.0,0.0,0.0,154.0,0.301,1.0,96.0,9.0,0.001,-0.05,1
altruist,0.1,21.0,10.0,0.25,1.0,0.0,0.0,154.0,0.301,1.0,96.0,9.9,0.001,-0.05,1
altruist,0.1,21.0,10.0,0.5,1.0,0.0,0.0,154.0,0.301,1.0,96.0,10.5,0.001,-0.05,1
altruist,0.1,21.0,35.0,0.0,1.0,2.47,0.0162437562437562,147.0,0.281,1.01,103.0,10.0,-0.0189999999999999,-0.04,1
altruist,0.1,21.0,35.0,0.001,1.0,0.0,0.0,141.0,0.285,1.02,109.0,8.2,-0.015,-0.03,1
altruist,0.1,21.0,35.0,0.0025,1.0,0.0,0.0,141.0,0.285,1.02,109.0,8.6,-0.015,-0.03,1
altruist,0.1,21.0,35.0,0.005,1.0,0.0,0.0,141.0,0.285,1.02,109.0,9.7,-0.015,-0.03,1
altruist,0.1,21.0,35.0,0.01,1.0,0.0,0.0,141.0,0.285,1.02,109.0,9.5,-0.015,-0.03,1
altruist,0.1,21.0,35.0,0.1,1.0,0.0,0.0,141.0,0.285,1.02,109.0,9.8,-0.015,-0.03,1
