framework,survival_rate,peak_sick_percentage,avg_sick_percentage,final_population,final_gini,final_happiness,total_deaths,delta_final_gini,delta_final_happiness,delta_final_meanWealth,duration_seconds,baseline_population,baseline_gini,baseline_happiness,baseline_wealth
altruist,1.0,4.9656666666666665,4.325119473119473,150.85925925925926,0.2912148148148148,0.9278518518518519,99.14074074074074,-0.008785185185185174,-0.12214814814814813,32.81855555555546,9.946296296296296,154.0,0.3,1.05,1522.66
asimov,1.0,4.9656666666666665,4.325119473119473,150.85925925925926,0.2912148148148148,0.9278518518518519,99.14074074074074,-0.008785185185185174,-0.12214814814814813,32.81855555555546,9.967407407407407,154.0,0.3,1.05,1522.66
bentham,1.0,4.9656666666666665,4.325119473119473,150.85925925925926,0.2912148148148148,0.9278518518518519,99.14074074074074,-0.008785185185185174,-0.12214814814814813,32.81855555555546,9.936666666666667,154.0,0.3,1.05,1522.66
egoist,1.0,4.9656666666666665,4.325119473119473,150.85925925925926,0.2912148148148148,0.9278518518518519,99.14074074074074,-0.008785185185185174,-0.12214814814814813,32.81855555555546,9.958148148148148,154.0,0.3,1.05,1522.66
negativeBentham,1.0,4.9656666666666665,4.325119473119473,150.85925925925926,0.2912148148148148,0.9278518518518519,99.14074074074074,-0.008785185185185174,-0.12214814814814813,32.81855555555546,9.960740740740741,154.0,0.3,1.05,1522.66
none,1.0,4.9656666666666665,4.325119473119473,150.85925925925926,0.2912148148148148,0.9278518518518519,99.14074074074074,-0.008785185185185174,-0.12214814814814813,32.81855555555546,10.151481481481483,154.0,0.3,1.05,1522.66
temperance,1.0,4.9656666666666665,4.325119473119473,150.85925925925926,0.2912148148148148,0.9278518518518519,99.14074074074074,-0.008785185185185174,-0.12214814814814813,32.81855555555546,11.559259259259258,154.0,0.3,1.05,1522.66
temperancePECS,1.0,4.9656666666666665,4.325119473119473,150.85925925925926,0.2912148148148148,0.9278518518518519,99.14074074074074,-0.008785185185185174,-0.12214814814814813,32.81855555555546,11.47111111111111,154.0,0.3,1.05,1522.66
