framework,survival_rate,peak_sick_percentage,avg_sick_percentage,final_population,final_gini,final_happiness,total_deaths,delta_final_gini,delta_final_happiness,delta_final_meanWealth,duration_seconds,baseline_population,baseline_gini,baseline_happiness,baseline_wealth
altruist,1.0,99.46666666666667,77.04021349021349,153.11111111111111,0.29144444444444445,-0.5055555555555555,96.88888888888889,-0.008555555555555537,-1.5555555555555556,23.04814814814808,13.607407407407406,154.0,0.3,1.05,1522.66
asimov,1.0,99.46666666666667,77.04021349021349,153.11111111111111,0.29144444444444445,-0.5055555555555555,96.88888888888889,-0.008555555555555537,-1.5555555555555556,23.04814814814808,14.074074074074074,154.0,0.3,1.05,1522.66
bentham,1.0,99.46666666666667,77.04021349021349,153.11111111111111,0.29144444444444445,-0.5055555555555555,96.88888888888889,-0.008555555555555537,-1.5555555555555556,23.04814814814808,15.618518518518519,154.0,0.3,1.05,1522.66
egoist,1.0,99.46666666666667,77.04021349021349,153.11111111111111,0.29144444444444445,-0.5055555555555555,96.88888888888889,-0.008555555555555537,-1.5555555555555556,23.04814814814808,15.903703703703703,154.0,0.3,1.05,1522.66
negativeBentham,1.0,99.46666666666667,77.04021349021349,153.11111111111111,0.29144444444444445,-0.5055555555555555,96.88888888888889,-0.008555555555555537,-1.5555555555555556,23.04814814814808,15.566666666666666,154.0,0.3,1.05,1522.66
none,1.0,99.46666666666667,77.04021349021349,153.11111111111111,0.29144444444444445,-0.5055555555555555,96.88888888888889,-0.008555555555555537,-1.5555555555555556,23.04814814814808,14.218518518518518,154.0,0.3,1.05,1522.66
temperance,1.0,99.46666666666667,77.04021349021349,153.11111111111111,0.29144444444444445,-0.5055555555555555,96.88888888888889,-0.008555555555555537,-1.5555555555555556,23.04814814814808,16.255555555555556,154.0,0.3,1.05,1522.66
temperancePECS,1.0,99.46666666666667,77.04021349021349,153.11111111111111,0.29144444444444445,-0.5055555555555555,96.88888888888889,-0.008555555555555537,-1.5555555555555556,23.04814814814808,16.8,154.0,0.3,1.05,1522.66
